NIM,Count
105223042,13
105222006,5
105223002,4
105223031,3
105222031,3
105223008,3
105223028,3
105221016,3
105222042,2
105223033,2
105222041,2
105220031,2
105220050,2
105220039,2
105220013,2
105221028,2
105223016,2
105221009,2
105221026,2
105221006,2
105223056,1
105220044,1
105223047,1
105223045,1
105223046,1
105220026,1
105223039,1
105222019,1
105223013,1
105223004,1
105223027,1
105223025,1
105223055,1
105223035,1
105223034,1
10523035,1
105223043,1
105223001,1
105220012,1
105223021,1
105223015,1
105221022,1
105222014,1
105223007,1
105221014,1
105221023,1
105220055,1
105222027,1
105220033,1
105223041,1
105223005,1
105223011,1
105223010,1
105221025,1
105223012,1
105223003,1
105223006,1
105221035,1
105223044,1
105223029,1
105221007,1
105223058,1
105223049,1
105223032,1
105223052,1
105223038,1
105223050,1
105223019,1
105223037,1
105223036,1
105222029,1
105221032,1
105223018,1
105223026,1
105221020,1
105221019,1
105221013,1
105221024,1
105220023,1
105222039,1
15220023,1
105222022,1
105222012,1
105222036,1
105222030,1
105220022,1
105220007,1
105222004,1
105222037,1
105222003,1
105222007,1
105222040,1
105222011,1
105222046,1
105222013,1
105222034,1
105222035,1
105222044,1
105222045,1
105222018,1
105222008,1
105220024,1
105220035,1
105221015,1
105220036,1
105223014,1
105223057,1
105223048,1
105222023,1
105221012,1
105221004,1
105222001,1
105221027,1
105221029,1
105221034,1
105221003,1
105220004,1
105222049,1
105222028,1
105220028,1
105222020,1
105221036,1
105221030,1
105222033,1
105220020,1
105222024,1
105222025,1
105220032,1
105222002,1
105222010,1
105221017,1
